Wall time,Step,Value
1753535533.9789279,1406464,0.0
1753535601.809682,1410048,0.0
1753535611.4195821,1410560,0.0
1753535620.8111475,1411072,0.0
1753535631.1326087,1411584,0.9296875
1753535640.7093766,1412096,0.0
1753535650.344117,1412608,0.0
1753535727.3468666,1416704,0.0
1753535958.2566574,1428480,0.0
1753535968.058379,1428992,0.0
1753535978.3233714,1429504,0.0
1753536048.0269055,1433088,0.0
1753536169.4422226,1438720,0.0
1753536191.5394113,1439744,0.0
1753536317.9167583,1445888,0.0
1753536328.0549667,1446400,0.0
1753536358.5160453,1447936,0.620312511920929
1753536377.0293784,1448960,0.0
1753536386.5664117,1449472,0.0
1753536405.399975,1450496,0.8031250238418579
1753536597.0165033,1460224,0.0
1753536647.6661537,1462784,0.4585937559604645
1753536675.909103,1464320,0.0
1753536700.0542834,1465856,0.0
1753536748.1102083,1470464,0.0
1753536754.0552437,1470976,0.0
1753536788.4461825,1474048,0.0
1753536799.1202002,1475072,0.0
1753536804.4282887,1475584,0.9296875
1753536836.886859,1478656,0.0
1753536853.2058187,1480192,0.43046873807907104
1753536858.4325707,1480704,0.0
1753536886.6704001,1483264,0.0
1753536897.5763175,1484288,0.2828125059604645
1753536910.482943,1485312,0.0
1753536927.9363189,1486848,0.0
1753536982.5220032,1491456,0.0
1753537012.3632548,1494016,0.0
1753537024.382287,1495040,0.0
1753537029.6747427,1495552,0.0
1753537034.847729,1496064,0.33203125
1753537106.4680326,1501696,0.0
1753537173.0554974,1506816,0.0
1753537226.7791188,1510912,0.0
1753537341.812893,1519616,0.0
1753537389.0052643,1523200,0.0
1753537396.2058794,1523712,0.0
1753537416.2871177,1525248,0.0
1753537482.8711383,1530368,0.0
1753537523.3485227,1533440,0.0
1753537549.9909124,1535488,0.0
1753537582.9918091,1538048,0.0
1753537596.181922,1539072,0.992968738079071
1753537609.819326,1540096,0.0
1753537623.4168746,1541120,0.0
1753537637.8549743,1542144,0.0
1753537665.8328013,1544192,0.0
1753537673.1494722,1544704,0.0
1753537693.90916,1546240,0.0
1753537736.6801863,1549312,0.0
1753537749.9783676,1550336,0.0
1753537769.6995053,1551872,0.0
1753537820.8750317,1555968,0.0
1753537834.2884696,1556992,0.0
1753537841.0609324,1557504,0.0
1753537847.5318973,1558016,0.0
1753537901.0854242,1562112,0.0
1753538002.1999314,1569792,0.0
1753538015.647431,1570816,0.0
1753538028.9898841,1571840,0.0
1753538041.9427197,1572864,0.0
1753538054.931425,1573888,0.0
1753538114.708984,1578496,0.0
1753538141.5331554,1580544,0.0
1753538230.1716845,1587200,0.0
1753538258.344855,1589248,0.0
1753538314.1379871,1594368,0.0
1753538362.9278865,1598976,0.0
1753538444.4349165,1606656,0.0
1753538450.2736506,1607168,0.0
1753538482.6770313,1610240,0.0
1753538488.9885452,1610752,0.0
1753538499.4519427,1611776,0.0
1753538516.926697,1613312,0.0
1753538544.033003,1615872,0.0
1753538559.8144372,1617408,0.0
1753538564.6630666,1617920,0.0
1753538575.0213308,1618944,0.0
1753538657.9998484,1627136,0.0
1753538693.9578075,1630720,0.0
1753538722.3814175,1632768,0.0
1753538769.955346,1636352,0.0
1753538776.7604573,1636864,0.0
1753538825.7077048,1640448,0.0
1753538846.1330996,1641984,0.0
1753539026.0315695,1654272,0.0
1753539057.4652247,1655808,0.0
1753539127.9803524,1659392,0.0
1753539157.648149,1660928,0.817187488079071
1753539167.481718,1661440,0.0
1753539188.9021301,1662464,0.0
1753539199.1752024,1662976,0.0
1753539272.1996257,1666560,0.0
1753539292.9228325,1667584,0.0
1753539407.630027,1673216,0.4164062440395355
1753539461.8840656,1675776,0.0
1753539555.0861907,1680384,0.0
1753539574.706311,1681408,0.0
1753539595.0080078,1682432,0.0
1753539637.4749908,1684480,0.0
1753539669.2712796,1686016,0.0
1753539801.1912882,1692672,0.0
1753539811.5027487,1693184,0.0
1753539821.2300084,1693696,0.0
1753539881.803672,1696768,0.0
1753539965.5985034,1700864,0.0
1753540028.9128392,1703936,0.0
1753540039.4617128,1704448,0.0
1753540049.2964003,1704960,0.6625000238418579
1753540089.0123394,1707008,0.0
1753540137.665641,1709568,0.0
1753540207.1490006,1713152,0.0
1753540284.8643296,1717248,0.0
1753540323.968989,1719296,0.0
1753540362.410343,1721344,0.0
1753540383.063087,1722368,0.0
1753540446.4385993,1725440,0.0
1753540477.3692684,1726976,0.0
1753540497.4557743,1728000,0.0
1753540517.5764225,1729024,0.0
1753540536.29917,1730048,0.0
1753540566.9412339,1731584,0.0
1753540617.867722,1734144,0.0
1753540738.5885255,1740288,0.0
1753540788.2509627,1742848,0.0
1753540838.9975312,1745408,0.0
1753541022.5819416,1754624,0.0
1753541067.2114232,1756672,0.0
1753541099.507864,1758208,0.0
1753541151.1518896,1760768,0.0
1753541209.7751698,1763840,0.0
1753541219.862704,1764352,0.0
1753541259.738239,1766400,0.0
1753541279.5671651,1767424,0.6343749761581421
1753541348.721948,1770496,0.0
1753541358.7118106,1771008,0.0
1753541423.0846364,1774080,0.0
1753541495.9657207,1777664,0.0
1753541556.9527276,1780736,0.0
1753541583.3939083,1782272,0.0
1753541641.414137,1785344,0.0
1753541750.0906265,1790976,0.0
1753541768.1447725,1792000,0.0
1753541835.9462645,1795584,0.0
1753541866.2837107,1797120,0.28984373807907104
1753541896.3902268,1798656,0.0
1753541916.7151093,1799680,0.0
1753541964.324945,1802240,0.0
1753542121.8601983,1810432,0.0
1753542141.5946226,1811456,0.0
1753542151.668008,1811968,0.620312511920929
1753542191.6377285,1814016,0.0
1753542201.707214,1814528,0.0
1753542242.1287227,1816576,0.971875011920929
1753542261.4243753,1817600,0.0
1753542319.0665197,1820672,0.0
1753542329.0596013,1821184,0.0
1753542398.566231,1824768,0.0
1753542520.2544487,1830912,0.0
1753542571.9382024,1833472,0.0
