#{"t_start": 1753687631.6401637, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
1.361061,80,302.165883
1.348215,80,302.64803
1.424196,80,303.157423
1.655268,80,303.645266
1.101548,80,304.224882
1.136684,80,304.789059
1.104546,80,305.248997
1.220445,80,305.664539
1.460348,80,306.1072
1.340411,80,306.549079
1.42265,80,307.013013
1.468711,80,307.486795
1.300464,80,307.922433
1.643258,80,308.40065
1.345716,80,308.861574
1.366835,80,309.27767
1.657444,80,309.679145
1.424019,80,310.171427
1.126304,80,310.608659
1.806405,80,311.010631
1.336492,80,317.828961
1.423485,80,318.27614
1.405504,80,318.765995
1.156036,80,319.25632
1.308376,80,319.805906
1.317266,80,320.349682
1.349494,80,320.844065
1.404192,80,321.275383
1.248691,80,321.780309
1.427697,80,322.250639
1.745603,80,322.693364
1.587986,80,323.086466
1.077595,80,323.495739
1.562987,80,323.969727
1.390055,80,324.540769
1.3052,80,325.035941
1.571412,80,325.492488
1.107831,80,325.90396
1.295285,80,326.29357
1.360019,80,326.737972
1.332766,80,327.148951
1.198536,80,327.568856
1.740041,80,328.104384
1.371977,80,328.580945
1.477427,80,329.056939
1.335534,80,335.863157
1.347496,80,336.376454
1.563327,80,336.922954
1.321925,80,337.447559
1.053585,80,337.942676
1.560925,80,338.384754
1.344982,80,338.93029
1.829207,80,339.466959
1.541622,80,340.085102
1.056415,80,340.598013
1.18342,80,341.109322
1.275614,80,341.538109
1.312628,80,341.970743
1.623282,80,342.406928
1.682166,80,342.809168
1.351556,80,343.23372
1.390089,80,343.687955
1.269672,80,344.136456
1.155704,80,344.605812
1.072607,80,345.08533
1.357307,80,345.493762
1.305077,80,345.928622
1.078803,80,346.362662
1.322049,80,346.781778
1.738657,80,347.254259
1.09101,80,347.744492
1.330733,80,354.652232
1.042176,80,355.096778
1.286454,80,355.536818
1.316478,80,356.037905
1.039922,80,356.520702
1.591771,80,357.056736
1.69431,80,357.510229
1.330374,80,357.987875
1.302173,80,358.457263
1.242677,80,358.95246
1.315885,80,359.415106
1.354544,80,360.034017
1.265453,80,360.52123
1.579324,80,361.02224
1.312789,80,361.462264
1.281544,80,361.880388
1.2538,80,362.282188
1.580717,80,362.706715
1.041723,80,363.153551
1.589109,80,363.57661
1.325537,80,364.123142
1.293672,80,364.715232
1.081628,80,365.196912
1.248054,80,365.567975
1.507629,80,366.062692
1.731981,80,366.464314
1.170025,80,372.895062
1.288629,80,373.349675
1.453928,80,373.805408
1.573483,80,374.275346
1.23789,80,374.711687
1.273888,80,375.16872
1.340682,80,375.671546
1.273402,80,376.116232
1.233153,80,376.663065
1.230345,80,377.162281
1.341087,80,377.609484
1.197581,80,378.098505
1.013827,80,378.563542
1.268868,80,379.017316
1.275377,80,379.562127
1.013734,80,380.074019
1.578622,80,380.670353
1.64245,80,381.164382
1.23834,80,381.602912
1.285111,80,382.088441
1.276517,80,382.520807
1.651064,80,382.948815
1.006914,80,383.344891
1.217715,80,383.815398
1.50321,80,384.443015
1.19392,80,391.773082
1.182739,80,392.382723
1.664967,80,392.863935
1.184639,80,393.315544
1.486874,80,393.790257
1.202175,80,394.258235
1.689418,80,394.807799
1.272935,80,395.366752
1.197695,80,395.842617
1.459187,80,396.381637
1.27978,80,396.866274
1.481161,80,397.32226
1.589945,80,397.779205
1.34395,80,398.29162
1.521764,80,398.69406
0.9897,80,399.086725
1.229331,80,399.589179
1.490151,80,400.083503
1.268103,80,400.611573
1.164122,80,401.046018
1.454021,80,401.437346
1.680322,80,401.885077
1.236715,80,402.305009
1.188213,80,402.737917
1.262875,80,403.254929
1.177907,80,403.683645
1.174967,80,410.495596
1.1095,80,410.882431
1.580068,80,411.368706
1.214918,80,411.825295
1.201964,80,412.360644
0.956273,80,412.857817
1.179482,80,413.376021
1.206755,80,413.886999
0.997887,80,414.315238
1.137765,80,414.800175
1.628691,80,415.230672
0.975119,80,415.739984
1.251226,80,416.304349
0.976998,80,416.825211
1.256166,80,417.275924
1.320333,80,417.701776
1.158321,80,418.092143
0.956886,80,418.536663
1.515049,80,418.990402
1.405129,80,419.499813
1.435017,80,419.924928
0.977196,80,420.442478
1.049966,80,420.934216
0.961138,80,421.33165
1.539585,80,421.763277
1.136146,80,428.461677
0.950653,80,428.899863
1.128372,80,429.284609
1.355262,80,429.761011
1.620241,80,430.237769
1.239662,80,430.686428
1.107076,80,431.160509
1.16095,80,431.726864
1.118293,80,432.198386
1.52857,80,432.746602
1.162522,80,433.159095
1.512849,80,433.661412
1.297667,80,434.171382
0.928475,80,434.624973
1.173939,80,435.091048
1.531043,80,435.570162
1.059902,80,436.049274
1.175336,80,436.554078
0.985744,80,436.989975
1.44776,80,437.377038
1.484428,80,437.817408
0.970111,80,438.25766
1.158099,80,438.673917
1.587024,80,439.107402
