#{"t_start": 1753806049.6499135, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
3.610496,80,40296.676001
3.121882,80,40297.247371
3.801124,80,40297.824914
4.292361,80,40298.455774
3.448003,80,40299.029088
4.276516,80,40299.772576
4.21062,80,40300.305595
2.657091,80,40300.804604
2.907667,80,40301.292725
3.533276,80,40301.929377
3.439512,80,40302.572601
3.681333,80,40303.224835
3.724904,80,40303.679033
4.027073,80,40304.131753
3.742943,80,40304.581993
2.812489,80,40305.050657
3.698712,80,40322.379427
3.760928,80,40322.978996
3.804925,80,40323.470803
3.89624,80,40323.968307
3.994262,80,40324.453769
4.166372,80,40324.963645
3.32114,80,40325.425961
3.402104,80,40326.121933
3.68818,80,40326.756905
3.193475,80,40327.376961
3.198568,80,40327.82612
3.843996,80,40328.33119
3.7925,80,40328.878988
3.485365,80,40329.66459
3.715753,80,40330.545226
4.179497,80,40331.232171
3.740957,80,40331.824775
3.603096,80,40332.461472
3.625686,80,40333.073905
3.463696,80,40333.611147
2.879835,80,40334.252852
2.742423,80,40334.973203
3.402013,80,40335.511124
3.673684,80,40336.021919
4.054406,80,40336.620852
3.861804,80,40337.134179
3.474511,80,40354.769475
3.20199,80,40355.423897
3.468111,80,40355.979006
3.301611,80,40356.608311
2.585594,80,40357.127999
3.924311,80,40357.672499
3.993472,80,40358.291066
2.691181,80,40358.954776
2.51538,80,40359.717885
3.263499,80,40360.269307
3.465606,80,40360.708958
4.361852,80,40361.181662
2.729854,80,40361.725229
3.585897,80,40362.354482
3.689082,80,40363.042717
3.475843,80,40363.552541
3.841423,80,40364.026169
3.586318,80,40364.60937
3.042109,80,40365.104536
3.805936,80,40365.608052
3.530829,80,40366.209617
3.344556,80,40366.90489
3.955242,80,40367.459162
3.453746,80,40367.919231
2.61681,80,40368.399679
3.81526,80,40385.868059
3.702297,80,40386.488265
3.723954,80,40387.116753
3.25289,80,40387.610174
3.472467,80,40388.06383
3.32036,80,40388.592523
3.483354,80,40389.080348
3.434095,80,40390.002947
3.79835,80,40390.728617
2.68632,80,40391.29416
3.103523,80,40391.840893
3.416544,80,40392.314217
3.345639,80,40392.791686
3.275232,80,40393.315511
3.967835,80,40393.876188
3.118042,80,40394.621334
3.480642,80,40395.271347
4.475928,80,40395.863843
3.980878,80,40396.430417
3.368461,80,40396.941183
3.538654,80,40397.419772
3.118844,80,40398.069996
3.130856,80,40398.758723
3.704246,80,40399.331162
3.338792,80,40399.857522
2.972446,80,40400.351915
3.668303,80,40417.34287
3.592445,80,40417.863324
3.629333,80,40418.494889
3.391498,80,40419.219774
3.695231,80,40420.041766
4.091009,80,40420.570485
3.408473,80,40421.149401
3.848183,80,40421.609662
3.294432,80,40422.229224
3.721166,80,40422.931286
3.893343,80,40423.460844
3.579751,80,40423.925011
3.674405,80,40424.501949
3.488471,80,40424.953209
3.345616,80,40425.412264
3.694036,80,40426.088819
4.295711,80,40426.792464
3.524337,80,40427.334838
3.576979,80,40427.939795
3.633257,80,40428.372382
3.25086,80,40428.86589
3.544343,80,40429.344064
3.354457,80,40429.903133
2.790748,80,40430.51385
3.318392,80,40431.119778
3.20851,80,40447.975141
4.193618,80,40448.559052
3.031095,80,40449.080049
3.565827,80,40450.06915
3.596057,80,40450.800741
3.405067,80,40451.427504
4.011275,80,40451.944613
3.640245,80,40452.505527
4.407824,80,40452.956958
3.958522,80,40453.406816
3.772927,80,40453.964959
3.618038,80,40454.754424
3.09188,80,40455.492043
3.333368,80,40456.009721
3.745562,80,40456.491191
3.596429,80,40457.070034
3.437253,80,40457.560242
3.23122,80,40458.215241
3.93065,80,40458.950297
3.713994,80,40459.587661
2.338191,80,40460.169881
3.433206,80,40460.75849
3.841249,80,40461.313107
4.130783,80,40461.822873
3.141114,80,40462.449959
3.599335,80,40463.099589
3.07548,80,40480.193456
2.420707,80,40480.767177
3.679964,80,40481.380635
3.540928,80,40481.920177
4.166705,80,40482.6064
4.039669,80,40483.210735
4.090161,80,40483.773048
3.861154,80,40484.237627
3.421676,80,40484.769564
3.153427,80,40485.280684
3.109306,80,40485.803212
3.168165,80,40486.426374
3.329103,80,40487.022948
3.628675,80,40487.608423
3.509298,80,40488.166347
3.855277,80,40488.616401
3.963157,80,40489.0581
4.038829,80,40489.535935
3.299757,80,40489.996314
3.094383,80,40490.663082
3.389583,80,40491.25359
3.776095,80,40491.828517
3.720834,80,40492.31559
2.27856,80,40492.893701
3.608471,80,40493.325742
2.886951,80,40493.762957
3.432965,80,40511.274509
3.857204,80,40511.813381
3.439837,80,40512.307478
3.432115,80,40512.764257
3.970568,80,40513.216063
4.163767,80,40513.724407
2.631478,80,40514.324763
4.198575,80,40514.971082
3.528557,80,40515.581343
3.926569,80,40516.1123
3.991059,80,40516.692554
2.921614,80,40517.304353
3.924738,80,40517.821742
3.848883,80,40518.405609
4.07828,80,40519.108757
3.695986,80,40519.645762
3.91748,80,40520.224479
3.745089,80,40520.702381
3.823524,80,40521.247077
3.971573,80,40521.841026
4.045065,80,40522.465575
3.260448,80,40523.059207
3.57471,80,40523.611211
3.6673,80,40524.103185
3.538349,80,40525.030848
3.679518,80,40542.066698
3.945982,80,40542.759055
3.867522,80,40543.423806
2.824876,80,40544.022
3.257123,80,40544.557169
3.178322,80,40545.040185
4.301037,80,40545.480952
3.082691,80,40546.010724
3.780691,80,40546.726727
3.403089,80,40547.397387
3.264223,80,40547.940016
3.869813,80,40548.410599
4.119118,80,40548.877964
4.049246,80,40549.391428
4.065294,80,40549.902439
3.461045,80,40550.633009
3.933203,80,40551.262711
3.087388,80,40551.774618
4.26071,80,40552.263784
3.847908,80,40552.720742
4.086793,80,40553.205328
3.804267,80,40553.676078
3.98223,80,40554.221243
3.656698,80,40554.880575
3.56928,80,40555.486467
3.35281,80,40555.992788
3.599452,80,40572.95761
3.890733,80,40573.447691
3.979938,80,40573.985439
3.851723,80,40574.531094
4.154535,80,40575.145721
4.295893,80,40575.820966
3.754755,80,40576.280381
4.734785,80,40576.826966
3.796802,80,40577.272098
3.894772,80,40577.767393
3.288002,80,40578.389957
3.674802,80,40579.101335
4.024409,80,40579.73292
3.866227,80,40580.253875
3.932466,80,40580.759377
3.779769,80,40581.281846
4.131836,80,40581.822049
4.059367,80,40582.356873
4.397129,80,40582.994946
3.134419,80,40583.677679
3.766211,80,40584.264313
4.093097,80,40584.970157
3.855531,80,40585.466403
3.01013,80,40586.033627
3.947811,80,40586.660874
3.808511,80,40603.928162
3.637384,80,40604.449667
4.334418,80,40604.956922
3.753855,80,40605.46848
3.418462,80,40605.97721
2.586998,80,40606.693146
3.321677,80,40607.422291
3.299915,80,40607.947034
3.552785,80,40608.39103
4.156944,80,40608.83165
3.507056,80,40609.32463
3.746113,80,40609.74371
3.993999,80,40610.254349
4.035325,80,40610.954194
3.876491,80,40611.603212
3.268655,80,40612.136846
2.933787,80,40612.616071
4.080251,80,40613.107518
3.973777,80,40613.661196
3.778363,80,40614.172863
3.652178,80,40614.701633
4.170641,80,40615.394949
