#{"t_start": 1753737605.7603946, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
0.0,80,356.794797
0.0,80,357.129525
0.0,80,357.460715
0.0,80,357.799457
0.0,80,358.139697
0.0,80,358.450551
0.0,80,358.764628
0.0,80,359.067178
0.0,80,359.360186
0.0,80,359.657711
0.0,80,359.961716
0.0,80,360.246744
0.0,80,360.545976
0.0,80,360.825607
0.0,80,361.123159
0.0,80,361.40483
0.0,80,361.673525
0.0,80,367.639663
0.0,80,367.940998
0.0,80,368.237111
0.0,80,368.54653
0.0,80,368.824506
0.0,80,369.126989
0.0,80,369.426385
0.0,80,369.699025
0.0,80,370.003437
0.0,80,370.307564
0.0,80,370.60941
0.0,80,370.89047
0.0,80,371.229773
0.0,80,371.567276
0.0,80,371.866123
0.0,80,372.195543
0.0,80,372.534445
0.0,80,372.84534
0.0,80,373.156485
0.0,80,373.469383
0.0,80,373.828878
0.0,80,374.16127
0.0,80,374.508658
0.0,80,374.81793
0.0,80,375.201154
0.0,80,375.522988
0.0,80,384.154084
0.0,80,384.469951
0.0,80,384.808225
0.0,80,385.14343
0.0,80,385.465142
0.0,80,385.798945
0.0,80,386.140619
0.0,80,386.475486
0.0,80,386.75259
0.0,80,387.027405
0.0,80,387.331124
0.0,80,387.630831
0.0,80,387.919772
0.0,80,388.218563
0.0,80,388.522157
0.0,80,388.805162
0.0,80,389.093354
0.0,80,389.389936
0.0,80,389.684817
0.0,80,389.988728
0.0,80,390.296094
0.0,80,390.660484
0.0,80,390.937529
0.0,80,391.234497
0.0,80,391.508238
0.0,80,391.80001
0.0,80,397.668893
0.0,80,397.978115
0.0,80,398.328808
0.0,80,398.643285
0.0,80,399.008156
0.0,80,399.340636
0.0,80,399.672171
0.0,80,400.014179
0.0,80,400.354203
0.0,80,400.690513
0.0,80,401.036765
0.0,80,401.379193
0.0,80,401.716377
0.0,80,402.072463
0.0,80,402.502206
0.0,80,402.864512
0.0,80,403.226623
0.0,80,403.580862
0.0,80,403.924278
0.0,80,404.279146
0.0,80,404.642109
0.0,80,405.006209
0.0,80,405.431034
0.0,80,405.779869
0.0,80,406.130334
0.0,80,414.713243
0.0,80,415.028775
0.0,80,415.321203
0.0,80,415.602586
0.0,80,415.870044
0.0,80,416.171062
0.0,80,416.475736
0.0,80,416.793338
0.0,80,417.074583
0.0,80,417.348606
0.0,80,417.694678
0.0,80,417.976462
0.0,80,418.317055
0.0,80,418.651942
0.0,80,418.96061
0.0,80,419.237231
0.0,80,419.531925
0.0,80,419.828583
0.0,80,420.11214
0.0,80,420.434827
0.0,80,420.714313
0.0,80,421.029518
0.0,80,421.32801
0.0,80,421.630113
0.0,80,421.919927
0.0,80,422.199656
0.0,80,428.344999
0.0,80,428.690225
0.0,80,429.03376
0.0,80,429.370441
0.0,80,429.704998
0.0,80,430.049227
0.0,80,430.388325
0.0,80,430.724546
0.0,80,431.06059
0.0,80,431.418329
0.0,80,431.779792
0.0,80,432.141428
0.0,80,432.495394
0.0,80,432.841259
0.0,80,433.184531
0.0,80,433.550095
0.0,80,433.896168
0.0,80,434.243318
0.0,80,434.572503
0.0,80,434.892211
0.0,80,435.209189
0.0,80,435.522729
0.0,80,435.85763
0.0,80,436.191009
0.0,80,436.536288
0.0,80,444.350108
0.0,80,444.652817
0.0,80,444.936368
0.0,80,445.247676
0.0,80,445.523726
0.0,80,445.817778
0.0,80,446.13358
0.0,80,446.417182
0.0,80,446.711535
0.0,80,447.013377
0.0,80,447.300111
0.0,80,447.574532
0.0,80,447.868227
0.0,80,448.129859
0.0,80,448.406467
0.0,80,448.704701
0.0,80,448.987886
0.0,80,449.265185
0.0,80,449.533126
0.0,80,449.810653
0.0,80,450.118361
0.0,80,450.411886
0.0,80,450.727001
0.0,80,451.02778
0.0,80,451.312943
0.0,80,451.590073
0.0,80,458.665153
0.0,80,459.004711
0.0,80,459.344689
0.0,80,459.693562
0.0,80,460.051913
0.0,80,460.4183
0.0,80,460.774652
0.0,80,461.130016
0.0,80,461.485716
0.0,80,461.843325
0.0,80,462.178521
0.0,80,462.525927
0.0,80,462.884812
0.0,80,463.250448
0.0,80,463.604397
0.0,80,463.92426
0.0,80,464.259352
0.0,80,464.584884
0.0,80,464.915667
0.0,80,465.257193
0.0,80,465.573472
0.0,80,465.902589
0.0,80,466.245284
0.0,80,466.560799
0.0,80,466.89239
0.0,80,467.230807
0.0,80,474.180111
0.0,80,474.489336
0.0,80,474.783196
0.0,80,475.081311
0.0,80,475.388344
0.0,80,475.694149
0.0,80,475.981293
0.0,80,476.282133
0.0,80,476.595365
0.0,80,476.887316
0.0,80,477.190277
0.0,80,477.489405
0.0,80,477.785332
0.0,80,478.085445
0.0,80,478.410082
0.0,80,478.711047
0.0,80,479.039476
0.0,80,479.330585
0.0,80,479.604135
0.0,80,479.888876
0.0,80,480.18892
0.0,80,480.489847
0.0,80,480.799782
0.0,80,481.103631
0.0,80,481.405613
0.0,80,489.79083
