#{"t_start": 1753737605.7958145, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
68.336549,80,749.791167
68.221236,80,750.349822
68.669117,80,750.799073
72.948998,80,751.356933
75.813825,80,751.879747
74.375798,80,752.329886
69.876256,80,752.854003
71.596703,80,753.390522
71.868621,80,753.93587
72.951937,80,754.421266
69.079189,80,754.971794
71.905557,80,755.476724
71.344943,80,756.035073
68.957134,80,756.546258
68.348879,80,757.180891
67.337642,80,757.752364
69.602264,80,773.993602
68.384735,80,774.574974
70.331937,80,775.207709
71.942994,80,775.795373
72.172525,80,776.331151
70.71288,80,776.916453
67.700979,80,777.593129
68.600386,80,778.159301
70.32762,80,778.730422
73.866319,80,779.382354
70.866551,80,779.897553
71.719178,80,780.45831
73.3691,80,780.930483
71.60854,80,781.456975
71.397558,80,781.992537
70.275567,80,782.460859
71.088017,80,783.112213
70.440344,80,783.66072
66.778512,80,784.212758
68.655113,80,784.698178
69.95688,80,785.269303
67.767438,80,785.838071
69.896288,80,786.301477
68.187214,80,786.742505
69.424556,80,787.245625
69.485528,80,787.774007
66.77422,80,804.538424
67.062971,80,805.0698
69.67085,80,805.598723
70.844182,80,806.159399
66.479397,80,806.714981
70.022384,80,807.346356
74.045818,80,807.948679
71.097391,80,808.58218
70.096816,80,809.150407
65.148593,80,809.728144
69.402622,80,810.256272
70.476937,80,810.776978
68.24631,80,811.246192
70.766897,80,811.793404
69.542127,80,812.316065
67.121355,80,812.770928
66.492414,80,813.279728
68.526037,80,813.842135
71.760664,80,814.411536
67.30163,80,814.933811
68.537383,80,815.462465
73.756486,80,815.957357
68.117113,80,816.389524
70.63036,80,816.875548
71.102646,80,817.468
68.273978,80,834.06878
68.971041,80,834.685266
69.2217,80,835.161565
69.23376,80,835.739548
67.77923,80,836.28319
69.829542,80,836.746437
71.640445,80,837.257407
73.505553,80,837.819328
72.689169,80,838.354494
72.021181,80,838.987253
68.098774,80,839.643218
69.325941,80,840.154283
66.349939,80,840.717223
70.652436,80,841.30929
71.751388,80,841.960187
70.309251,80,842.48891
67.462947,80,843.065277
68.972561,80,843.648324
69.673294,80,844.231711
71.133072,80,844.728209
73.165136,80,845.304671
69.258812,80,845.854875
69.410666,80,846.345001
67.7331,80,846.854565
71.367894,80,847.419088
69.950827,80,847.93535
68.707727,80,864.778598
68.390805,80,865.351814
71.299316,80,865.921986
72.11249,80,866.40304
70.458968,80,866.877427
68.537944,80,867.470908
70.925888,80,867.998627
71.841932,80,868.52768
67.86958,80,868.974675
70.272953,80,869.560849
68.507404,80,870.159336
70.897596,80,870.700986
72.258656,80,871.276535
69.729231,80,871.884977
71.401573,80,872.445281
71.870375,80,872.94295
71.921748,80,873.506665
66.996843,80,874.076423
62.315775,80,874.633468
65.403824,80,875.188939
69.084252,80,875.692734
70.194651,80,876.252848
71.790897,80,876.790719
72.181063,80,877.391733
70.379685,80,877.945136
67.972213,80,878.385378
68.280734,80,894.963495
68.332525,80,895.539441
72.24424,80,896.057275
72.329447,80,896.520054
71.625915,80,896.962718
71.543126,80,897.394399
73.612939,80,897.914779
76.797578,80,898.489781
73.354193,80,898.979766
72.634798,80,899.594481
70.724462,80,900.116455
70.106195,80,900.656347
72.326147,80,901.146276
73.737417,80,901.70268
73.75046,80,902.234332
71.641829,80,902.761896
69.555772,80,903.307558
68.312016,80,903.890654
71.121713,80,904.423824
72.806729,80,904.990079
70.171091,80,905.607152
71.587407,80,906.142843
73.203148,80,906.749633
72.47878,80,907.288895
70.577613,80,907.833103
67.641313,80,924.785434
69.965621,80,925.281546
76.025077,80,925.903491
74.975046,80,926.518343
71.513087,80,926.927925
71.216983,80,927.404963
70.950923,80,927.935989
73.598199,80,928.427614
71.797157,80,928.965615
72.608292,80,929.534607
72.234616,80,930.078213
68.97511,80,930.582458
69.509693,80,931.169046
69.719235,80,931.752433
71.750698,80,932.226765
70.765382,80,932.769229
70.096535,80,933.351763
71.464694,80,933.978557
69.494521,80,934.475118
72.288533,80,935.036062
73.959924,80,935.634117
75.325181,80,936.213164
75.707346,80,936.734333
74.676266,80,937.267535
73.840311,80,937.847853
73.290648,80,938.385661
70.635123,80,954.942227
70.045363,80,955.590525
70.609353,80,956.143454
71.218377,80,956.648104
75.442893,80,957.142544
75.77435,80,957.657726
77.308239,80,958.186714
73.452277,80,958.619383
72.481304,80,959.11652
74.465676,80,959.641509
72.368051,80,960.185405
67.037266,80,960.707136
70.158952,80,961.159194
69.93088,80,961.72345
70.60117,80,962.313488
70.962776,80,962.757053
68.856033,80,963.222658
71.686979,80,963.807275
73.862865,80,964.435464
72.511653,80,964.992325
71.992262,80,965.582772
73.8914,80,966.135138
72.061475,80,966.698501
67.393775,80,967.201146
71.489306,80,967.82724
72.293193,80,983.961911
70.826524,80,984.544115
70.816223,80,985.186835
74.304915,80,985.776429
73.606782,80,986.418994
76.099903,80,986.85525
73.788193,80,987.361531
71.45768,80,987.908915
74.267718,80,988.446553
72.875942,80,988.968597
73.382312,80,989.604695
73.635389,80,990.144485
71.500436,80,990.620124
72.559814,80,991.121677
72.769427,80,991.709408
72.102597,80,992.384569
75.300086,80,992.93092
76.181924,80,993.482764
74.699514,80,994.041801
74.732602,80,994.595875
75.131365,80,995.1304
75.847233,80,995.857105
75.489221,80,996.529853
73.383908,80,997.166875
72.501712,80,997.741497
72.834263,80,998.309928
71.762756,80,1014.726342
72.606881,80,1015.273089
76.301706,80,1015.892581
74.574136,80,1016.444597
72.834661,80,1016.952108
72.422033,80,1017.498765
71.845352,80,1018.079198
73.959737,80,1018.649372
75.811155,80,1019.121418
71.658255,80,1019.689395
